subject,gender,age,recall,n2,n3,n4,survey,order,condition,subdesign,structure,distance,item,raw.judgment,zscores
2,F,22,2.7,1.04,1.04,0.78,4b,92,WH.non.ma,wh,non,matrix,WH.non.ma.08,115,0.218519003
2,F,22,2.7,1.04,1.04,0.78,4b,9,WH.non.ma,wh,non,matrix,WH.non.ma.12,200,2.304033693
2,F,22,2.7,1.04,1.04,0.78,4b,25,WH.non.ma,wh,non,matrix,WH.non.ma.16,110,0.095841668
3,F,19,2.5,3.29,1.81,1.9,2a,32,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.03,80,0.194459267
3,F,19,2.5,3.29,1.81,1.9,2a,54,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.07,20,-0.948484997
3,F,19,2.5,3.29,1.81,1.9,2a,77,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.11,20,-0.948484997
3,F,19,2.5,3.29,1.81,1.9,2a,22,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.15,5,-1.234221063
3,F,19,2.5,3.29,1.81,1.9,2a,26,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.04,15,-1.043730352
3,F,19,2.5,3.29,1.81,1.9,2a,58,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.08,65,-0.091276799
3,F,19,2.5,3.29,1.81,1.9,2a,73,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.12,85,0.289704622
3,F,19,2.5,3.29,1.81,1.9,2a,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.16,35,-0.662748931
3,F,19,2.5,3.29,1.81,1.9,2a,15,ADJ.non.em,adj,non,embedded,ADJ.non.em.01,40,-0.567503576
3,F,19,2.5,3.29,1.81,1.9,2a,41,ADJ.non.em,adj,non,embedded,ADJ.non.em.05,45,-0.47225822
3,F,19,2.5,3.29,1.81,1.9,2a,51,ADJ.non.em,adj,non,embedded,ADJ.non.em.09,40,-0.567503576
3,F,19,2.5,3.29,1.81,1.9,2a,84,ADJ.non.em,adj,non,embedded,ADJ.non.em.13,75,0.099213912
3,F,19,2.5,3.29,1.81,1.9,2a,20,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.02,55,-0.28176751
3,F,19,2.5,3.29,1.81,1.9,2a,36,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.06,60,-0.186522154
3,F,19,2.5,3.29,1.81,1.9,2a,65,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.10,110,0.765931399
3,F,19,2.5,3.29,1.81,1.9,2a,80,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.14,150,1.527894242
3,F,19,2.5,3.29,1.81,1.9,2a,16,agr.pl,agr,pl,,agr.pl.01,37,-0.624650789
3,F,19,2.5,3.29,1.81,1.9,2a,45,agr.pl,agr,pl,,agr.pl.05,80,0.194459267
3,F,19,2.5,3.29,1.81,1.9,2a,70,agr.pl,agr,pl,,agr.pl.09,50,-0.377012865
3,F,19,2.5,3.29,1.81,1.9,2a,91,agr.pl,agr,pl,,agr.pl.13,80,0.194459267
3,F,19,2.5,3.29,1.81,1.9,2a,4,agr.sg,agr,sg,,agr.sg.02,35,-0.662748931
3,F,19,2.5,3.29,1.81,1.9,2a,38,agr.sg,agr,sg,,agr.sg.06,45,-0.47225822
3,F,19,2.5,3.29,1.81,1.9,2a,50,agr.sg,agr,sg,,agr.sg.10,95,0.480195333
3,F,19,2.5,3.29,1.81,1.9,2a,96,agr.sg,agr,sg,,agr.sg.14,95,0.480195333
3,F,19,2.5,3.29,1.81,1.9,2a,23,CE.all,ce,all,,CE.all.02,8,-1.17707385
3,F,19,2.5,3.29,1.81,1.9,2a,48,CE.all,ce,all,,CE.all.06,65,-0.091276799
3,F,19,2.5,3.29,1.81,1.9,2a,55,CE.all,ce,all,,CE.all.10,15,-1.043730352
3,F,19,2.5,3.29,1.81,1.9,2a,75,CE.all,ce,all,,CE.all.14,45,-0.47225822
3,F,19,2.5,3.29,1.81,1.9,2a,18,CE.vp1,ce,vp1,,CE.vp1.01,15,-1.043730352
3,F,19,2.5,3.29,1.81,1.9,2a,25,CE.vp1,ce,vp1,,CE.vp1.05,25,-0.853239642
3,F,19,2.5,3.29,1.81,1.9,2a,61,CE.vp1,ce,vp1,,CE.vp1.09,25,-0.853239642
