"sentence_id","condition","all_exposures","first_three_exposures","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm"
48,"POLAR",0.880642458100559,0.869415204678363,1.50605050483719,7.24514653084322,1.39024809733988,4.31769731409155,0.179637692776138,0,0,"0",0,0,0,"0",0,0
50,"WH",0.499427710843374,0.458051948051948,5.20336108505726,9.13244195278067,4.95308518559686,7.04276356918876,0.630241088641562,11.2652139663696,6.00353515148163,"6.095146656036377",2.66477740556002,7.40229034423828,0.566308429544559,"0.45474579879525856",0.583132315580904,1.98510013275777
51,"SUBJ",0.345920245398773,0.322242424242424,4.30246359224503,8.59868993207607,2.82845080494965,5.71357036851286,0.51810200864236,10.6935567855835,4.62335777282715,"3.3746860027313232",3.33862183136599,17.2492332458496,0.492731608766218,"0.4574866273636558",0.445776808246949,1.60071227993987
52,"POLAR",0.898977272727273,0.884702380952381,1.87071043944785,7.8728559790199,1.69670025902016,4.78477811902003,0.245677077085434,0,0,"0",0,0,0,"0",0,0
54,"WH",0.529538461538462,0.441840490797546,4.43001906829886,7.16324785515116,8.1691269530457,7.66618740409843,0.583392696944896,8.54202365875244,6.13963884115219,"6.20982027053833",2.3083049209478,12.8410263061523,0.542853921999952,"0.4633013508385856",0.604840472887053,3.44362647770635
55,"SUBJ",0.401572700296736,0.324331210191083,2.80981353846275,6.85863975114948,1.61503593925842,4.23683784520395,0.373160945015652,8.36314678192139,3.62081686407328,"5.5414533615112305",1.84906467438365,15.224024772644,0.406901839050164,"0.751222723239713",0.301378902012999,2.44749852030634
56,"POLAR",0.937073863636364,0.93078313253012,1.71038495417451,8.20155522201013,2.07440148530719,5.13797835365866,0.204909376806369,0,0,"0",0,0,0,"0",0,0
58,"WH",0.530730994152047,0.480654761904762,3.39074123602283,7.12427543344736,4.26355124403888,5.69391333874312,0.410847596148077,8.87445831298828,4.04693569722585,"4.057521820068359",1.50444724261761,6.60884237289429,0.392226173540693,"0.3027229868815096",0.380136884980137,1.77231819635651
59,"SUBJ",0.371258503401361,0.295142857142857,2.50673993220827,6.40136066354594,1.125674968654,3.76351781609997,0.36249639668659,8.09865093231201,1.86474491409026,"5.19251012802124",1.9999693216756,15.5957288742065,0.258790076333141,"0.7039185109658892",0.346586879543767,2.50725572985849
60,"POLAR",0.91597667638484,0.913941176470588,1.68178501468356,7.84436128874972,1.41160456420054,4.62798292647513,0.218122974785548,0,0,"0",0,0,0,"0",0,0
62,"WH",0.572684365781711,0.57275641025641,3.9312379087011,6.28894107566915,5.37320685873144,5.83107396720029,0.469795196887243,7.50401973724365,5.50183608755469,"6.096062660217285",1.92790469278892,8.24223041534424,0.499640309836678,"0.4548141398994934",0.422794499330564,2.21035003098134
63,"SUBJ",0.322212121212121,0.293924050632911,2.95092583264169,6.77889543458186,1.0383429345859,3.90861918458388,0.400205448021283,8.27632331848145,3.31912045180798,"6.36370325088501",2.02265734348277,14.6831312179565,0.386183691777567,"0.8626903763592314",0.334730722975769,2.36054147744079
64,"POLAR",0.897717391304348,0.892197802197802,1.93297076838858,8.76992793983528,1.41726586867827,5.09359690425677,0.222840571335158,0,0,"0",0,0,0,"0",0,0
66,"WH",0.525416666666667,0.469012345679012,4.23130600852892,6.90005506833548,4.695165321147,5.79761019474124,0.5117278972337,8.51790428161621,4.85815072059631,"6.529191493988037",1.95834035682492,7.18707656860352,0.455714907091746,"0.4871289517669445",0.518104693586477,1.92738544247729
67,"SUBJ",0.38533950617284,0.364903225806452,3.15645483937114,6.71301959422319,1.44244839267952,4.07773399345135,0.456153642428539,8.41861248016357,2.40834451466799,"5.536147594451904",2.63985382858664,18.366641998291,0.323394539105771,"0.7505034511428175",0.452435298657279,2.95272306667472
68,"POLAR",0.930523255813953,0.931602209944751,1.51519293636084,7.79044383236473,1.45448441829563,4.62246412533018,0.200087298455442,0,0,"0",0,0,0,"0",0,0
70,"WH",0.475994065281899,0.441787709497207,3.7186973802208,8.9489932772429,4.27452428579465,6.61175878151878,0.446286976180928,11.2287454605103,5.1794558763504,"6.353019714355469",1.43478246608616,6.71021842956543,0.463413465807913,"0.47398515372972194",0.318319404737914,1.7995045959974
71,"SUBJ",0.447094801223242,0.394012738853503,4.84820592389084,8.74326407966561,2.35383164412341,5.54854786189451,0.516920215166428,11.1857013702393,3.16593381762505,"5.471009731292725",4.81517580550696,24.0993518829346,0.347489517767522,"0.7416730884642602",0.47817880584635,1.86316839052069
72,"POLAR",0.938551532033426,0.944123711340206,1.80140254303946,7.56459400321345,1.34963465982804,4.45711433152075,0.21881859794819,0,0,"0",0,0,0,"0",0,0
74,"WH",0.449652173913043,0.431411042944785,7.77599933544795,6.96987959829453,10.5669886534808,8.76843412588767,0.919788653139526,4.72930097579956,9.7181757291158,"4.346987247467041",7.84091746211052,13.272629737854,0.764949992913441,"0.58929587328331",0.964440945726582,3.55937119855975
75,"SUBJ",0.334767801857585,0.286913580246914,7.77599933544795,6.96987959829453,10.5669886534808,8.76843412588767,0.919788653139526,4.72930097579956,9.7181757291158,"4.346987247467041",7.84091746211052,5.34475755691528,0.764949992913441,"0.58929587328331",0.964440945726582,0.705183171797417
76,"POLAR",0.863468834688347,0.871194968553459,6.54906170870013,7.53445788702964,9.96844425426214,8.75145107064589,0.816890004313331,0,0,"0",0,0,0,"0",0,0
78,"WH",0.591713395638629,0.55361963190184,6.26990560223074,7.63170628852583,8.75384553207306,8.19277591029944,0.738476627957548,4.72930097579956,13.0233387947083,"3.0810179710388184",5.59472297705137,11.1460599899292,0.851550088226281,"0.4176757539150473",0.705004019777483,2.98908096504979
79,"SUBJ",0.37,0.31271186440678,6.2243024520576,7.58716328708622,7.71587964006642,7.65152146357632,0.74395478524909,4.72930097579956,13.0233387947083,"3.0810179710388184",5.40977638587356,2.31031727790833,0.851550088226281,"0.4176757539150473",0.706388305505937,0.304821471983484
80,"POLAR",0.938230337078652,0.928095238095238,6.60140743023819,7.5110705395974,10.218204299722,8.86463741965968,0.786975299431991,0,0,"0",0,0,0,"0",0,0
82,"WH",0.541487603305785,0.501086956521739,6.24550888273451,7.67158972331628,9.82330799298524,8.74744885815076,0.747597323785454,4.72930097579956,13.0462031364441,"3.4156060218811035",5.58441761561802,12.5452585220337,0.790104082897684,"0.46303391725591175",0.724659661234532,3.36430931501542
83,"SUBJ",0.47794952681388,0.420347222222222,6.44633894041181,7.63387156609602,8.16113405536535,7.89750281073068,0.728714741208116,4.72930097579956,13.0462031364441,"3.4156060218811035",5.74200914800167,1.71606314182281,0.790104082897684,"0.46303391725591175",0.695659940706261,0.226416041601274
84,"POLAR",0.939232954545455,0.941467391304348,8.41740286250909,7.77989822667641,14.2920085222308,11.0359533744536,0.949389831218806,0,0,"0",0,0,0,"0",0,0
86,"WH",0.541333333333333,0.462771084337349,7.80939789886276,7.87460821953916,9.81409063698555,8.84434942826236,0.879379407880518,4.72930097579956,13.2425022125244,"2.6200900077819824",7.57332482493737,13.3044805526733,0.875969210317232,"0.3551904207026236",0.892298889915204,3.56791275175288
87,"SUBJ",0.4932,0.444939759036145,8.79068672714325,7.82202818255683,13.6052128150042,10.7136204987805,0.987246903062339,4.72930097579956,13.2425022125244,"2.6200900077819824",8.93828133824799,12.890811920166,0.875969210317232,"0.3551904207026236",1.05097849007443,0.735918914339995
88,"POLAR",0.920420168067227,0.921220930232558,6.63696173032125,7.98440171627848,9.37807711294615,8.68123941461231,0.772504048640337,0,0,"0",0,0,0,"0",0,0
181,"FILL",0.907426614481409,0.892998027613412,8.17953885453088,7.57898696160748,11.6607485528283,9.61986775721791,0.954180718425811,0,0,"0",0,0,0,"0",0,0
182,"FILL",0.912480392156863,0.892509727626459,7.67630608876546,8.13636763268515,10.5291566643852,9.33276214853518,0.923262414169647,0,0,"0",0,0,0,"0",0,0
183,"FILL",0.885683673469388,0.862676056338028,6.39985115961595,7.07443122549935,10.5545758466454,8.81450353607237,0.747601507915268,0,0,"0",0,0,0,"0",0,0
184,"FILL",0.893069105691057,0.872179226069246,7.00436651706696,7.83869838871623,7.9022007282041,7.87044955846016,0.757966777097403,0,0,"0",0,0,0,"0",0,0
185,"FILL",0.828733798604187,0.796471774193548,5.64100804511044,7.120617902958,7.31437790845127,7.21749790570464,0.734467676396654,0,0,"0",0,0,0,"0",0,0
186,"FILL",0.889891838741396,0.866625514403292,7.69209601084391,8.45418837559606,9.79511276591956,9.12465057075782,0.822047878864871,0,0,"0",0,0,0,"0",0,0
187,"FILL",0.866566037735849,0.835401459854015,7.07368545872824,8.28126788122359,8.56680074057543,8.42403431089951,0.740563792002537,0,0,"0",0,0,0,"0",0,0
188,"FILL",0.895054401582592,0.879518072289157,6.63691770877423,7.61679135130191,9.18165801625758,8.39922468377974,0.781420633171543,0,0,"0",0,0,0,"0",0,0
189,"FILL",0.885004840271055,0.859431818181818,5.38863249736674,7.01906601376456,7.14903931636837,7.08405266506647,0.663524058187025,0,0,"0",0,0,0,"0",0,0
