"#Data from Experiment 1 of Sprouse, Jon, Matt Wagers, & Colin Phillips. 2012. A test of the relation between working memory capacity and syntactic island effects. Language 88(1): 82-123.",,,,,,,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,,,,,,
,,,,,,,,,,,
subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
77,F,21,5.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,2,-0.879285371
78,M,19,4.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.191716044
78,M,19,4.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,1,-1.191716044
79,M,20,5.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,2,-1.392897423
79,M,20,5.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,5,0.224660875
80,F,18,5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.350330741
80,F,18,5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,1,-1.350330741
81,M,18,5.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.0757309
81,M,18,5.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,1,-1.0757309
82,M,27,4,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-0.980306232
82,M,27,4,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,3,0.04262201
83,F,21,3,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.264694921
83,F,21,3,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,2,-0.865317577
84,M,20,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,2,-0.992877175
84,M,20,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,3,-0.511482181
85,F,21,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.76519915
