"#Data from Sprouse, Jon, Carson T. Schütze, & Diogo Almeida. 2013. A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001-2010. Lingua 134: 219-248.",,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,
,,,,,,
participant,survey,order,judgment,item,condition,zscores
3,1.1,18,60,41.1.Muller.14c.g.02,41.1.Muller.14c.g,-0.313503476
3,1.1,19,40,41.3.Rezac.3b2.*.03,41.3.Rezac.3b2.*,-0.582374381
3,1.1,20,300,37.3.becker.5a.g.02,37.3.becker.5a.g,2.912947388
3,1.1,21,100,33.2.bowers.69b.*.01,33.2.bowers.69b.*,0.224238335
3,1.1,22,20,32.2.stroik.17a.*.01,32.2.stroik.17a.*,-0.851245286
3,1.1,23,150,37.2.Sigurdsson.2a.g.08,37.2.Sigurdsson.2a.g,0.896415598
3,1.1,24,60,34.3.takano.9e.*.05,34.3.takano.9e.*,-0.313503476
3,1.1,25,100,41.2.Bruening.33a.g.06,41.2.Bruening.33a.g,0.224238335
3,1.1,26,40,35.2.larson.44c.??.05,35.2.larson.44c.??,-0.582374381
3,1.1,27,10,32.1.martin.2c.*.07,32.1.martin.2c.*,-0.985680739
3,1.1,28,15,41.4.Haegeman.4a.*.05,41.4.Haegeman.4a.*,-0.918463012
3,1.1,29,120,34.4.boskovic.3a.*.03,34.4.boskovic.3a.*,0.49310924
3,1.1,30,20,33.2.bowers.13a.*.05,33.2.bowers.13a.*,-0.851245286
3,1.1,31,150,40.1.stepanov.4a.g.06,40.1.stepanov.4a.g,0.896415598
3,1.1,32,100,40.1.caponigro.23cf.g.04,40.1.caponigro.23cf.g,0.224238335
3,1.1,33,120,33.4.neeleman.100.g.06,33.4.neeleman.100.g,0.49310924
3,1.1,34,90,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,0.089802882
3,1.1,35,50,32.3.Culicover.28c.g.08,32.3.Culicover.28c.g,-0.447938928
3,1.1,36,80,32.3.Culicover.49a.*.07,32.3.Culicover.49a.*,-0.04463257
3,1.1,37,50,34.2.caponigro.13b.*.05,34.2.caponigro.13b.*,-0.447938928
3,1.1,38,10,34.3.heycock.16.*.01,34.3.heycock.16.*,-0.985680739
3,1.1,39,200,35.1.mcginnis.32b.g.02,35.1.mcginnis.32b.g,1.568592861
3,1.1,40,30,35.1.mcginnis.63b.*.07,35.1.mcginnis.63b.*,-0.716809833
3,1.1,41,20,35.1.bhatt.94a.*.03,35.1.bhatt.94a.*,-0.851245286
3,1.1,42,5,41.1.Muller.14c.*.01,41.1.Muller.14c.*,-1.052898465
3,1.1,43,150,33.1.fox.65b.g.06,33.1.fox.65b.g,0.896415598
3,1.1,44,2,32.2.nunes.3b.*.01,32.2.nunes.3b.*,-1.093229101
3,1.1,45,40,34.4.boskovic.4e.g.02,34.4.boskovic.4e.g,-0.582374381
3,1.1,46,70,35.2.larson.44c.g.06,35.2.larson.44c.g,-0.179068023
3,1.1,47,300,35.1.mcginnis.63a.g.08,35.1.mcginnis.63a.g,2.912947388
3,1.1,48,20,32.2.stroik.4a.g.06,32.2.stroik.4a.g,-0.851245286
3,1.1,49,50,32.3.Culicover.28c.*.07,32.3.Culicover.28c.*,-0.447938928
3,1.1,50,100,41.3.Rezac.3b1.g.04,41.3.Rezac.3b1.g,0.224238335
3,1.1,51,60,41.3.Vicente.5b.g.06,41.3.Vicente.5b.g,-0.313503476
3,1.1,52,50,37.1.boeckx.5.*.03,37.1.boeckx.5.*,-0.447938928
3,1.1,53,20,34.3.takano.9e.g.06,34.3.takano.9e.g,-0.851245286
